Sentence , Sentance ,id, Relations Weight
S1 , S2 ,1,2
S1 , S3 ,2,3
S1 , S5 ,3,1
S1 , S7 ,4,1
S1 , S25 ,5,4
S1 , S28 ,6,2
S1 , S45 ,7,1
S1 , S50 ,8,1
S1 , S51 ,9,2
S1 , S58 ,10,1
S1 , S59 ,11,1
S1 , S64 ,12,1
S1 , S66 ,13,1
S1 , S73 ,14,2
S1 , S80 ,15,2
S1 , S83 ,16,1
S1 , S92 ,17,1
S1 , S95 ,18,2
S2 , S3 ,19,6
S2 , S4 ,20,2
S2 , S5 ,21,2
S2 , S6 ,22,2
S2 , S7 ,23,2
S2 , S13 ,24,1
S2 , S14 ,25,2
S2 , S15 ,26,1
S2 , S20 ,27,2
S2 , S25 ,28,6
S2 , S34 ,29,1
S2 , S37 ,30,1
S2 , S45 ,31,1
S2 , S50 ,32,1
S2 , S51 ,33,3
S2 , S52 ,34,1
S2 , S55 ,35,1
S2 , S57 ,36,1
S2 , S61 ,37,2
S2 , S64 ,38,1
S2 , S66 ,39,1
S2 , S68 ,40,1
S2 , S69 ,41,1
S2 , S72 ,42,3
S2 , S73 ,43,2
S2 , S74 ,44,2
S2 , S75 ,45,1
S2 , S76 ,46,1
S2 , S79 ,47,2
S2 , S80 ,48,4
S2 , S81 ,49,1
S2 , S83 ,50,1
S2 , S84 ,51,2
S2 , S85 ,52,1
S2 , S87 ,53,1
S2 , S88 ,54,1
S2 , S90 ,55,1
S2 , S92 ,56,3
S2 , S93 ,57,1
S2 , S95 ,58,2
S2 , S98 ,59,1
S2 , S99 ,60,1
S3 , S4 ,61,3
S3 , S5 ,62,2
S3 , S6 ,63,4
S3 , S7 ,64,1
S3 , S14 ,65,2
S3 , S15 ,66,1
S3 , S20 ,67,1
S3 , S24 ,68,2
S3 , S25 ,69,5
S3 , S28 ,70,1
S3 , S30 ,71,1
S3 , S31 ,72,1
S3 , S32 ,73,1
S3 , S33 ,74,2
S3 , S42 ,75,4
S3 , S45 ,76,3
S3 , S47 ,77,1
S3 , S50 ,78,2
S3 , S51 ,79,4
S3 , S55 ,80,1
S3 , S58 ,81,1
S3 , S59 ,82,1
S3 , S61 ,83,1
S3 , S64 ,84,1
S3 , S65 ,85,1
S3 , S66 ,86,1
S3 , S70 ,87,2
S3 , S72 ,88,2
S3 , S73 ,89,2
S3 , S74 ,90,2
S3 , S75 ,91,1
S3 , S76 ,92,1
S3 , S80 ,93,3
S3 , S83 ,94,2
S3 , S84 ,95,3
S3 , S91 ,96,3
S3 , S92 ,97,2
S3 , S94 ,98,2
S3 , S95 ,99,5
S3 , S96 ,100,1
S3 , S98 ,101,2
S3 , S99 ,102,1
S4 , S5 ,103,1
S4 , S14 ,104,1
S4 , S15 ,105,1
S4 , S25 ,106,5
S4 , S28 ,107,2
S4 , S45 ,108,1
S4 , S50 ,109,1
S4 , S51 ,110,3
S4 , S55 ,111,1
S4 , S61 ,112,1
S4 , S69 ,113,1
S4 , S72 ,114,1
S4 , S78 ,115,2
S4 , S80 ,116,3
S4 , S83 ,117,1
S4 , S95 ,118,1
S5 , S6 ,119,2
S5 , S7 ,120,1
S5 , S51 ,121,2
S5 , S55 ,122,3
S5 , S58 ,123,1
S5 , S59 ,124,1
S5 , S64 ,125,1
S5 , S66 ,126,1
S5 , S69 ,127,2
S5 , S73 ,128,2
S5 , S76 ,129,1
S5 , S78 ,130,4
S5 , S83 ,131,1
S5 , S92 ,132,1
S5 , S95 ,133,1
S6 , S25 ,134,4
S6 , S28 ,135,2
S6 , S45 ,136,2
S6 , S50 ,137,2
S6 , S51 ,138,4
S6 , S80 ,139,2
S6 , S95 ,140,2
S7 , S8 ,141,5
S7 , S10 ,142,5
S7 , S18 ,143,1
S7 , S19 ,144,5
S7 , S20 ,145,1
S7 , S21 ,146,5
S7 , S23 ,147,2
S7 , S25 ,148,2
S7 , S30 ,149,1
S7 , S34 ,150,1
S7 , S37 ,151,1
S7 , S51 ,152,1
S7 , S52 ,153,1
S7 , S54 ,154,4
S7 , S57 ,155,1
S7 , S58 ,156,9
S7 , S59 ,157,1
S7 , S60 ,158,4
S7 , S61 ,159,5
S7 , S64 ,160,1
S7 , S66 ,161,1
S7 , S68 ,162,1
S7 , S69 ,163,5
S7 , S71 ,164,5
S7 , S72 ,165,1
S7 , S73 ,166,1
S7 , S76 ,167,1
S7 , S79 ,168,3
S7 , S80 ,169,1
S7 , S81 ,170,1
S7 , S82 ,171,3
S7 , S83 ,172,1
S7 , S84 ,173,1
S7 , S87 ,174,5
S7 , S90 ,175,1
S7 , S92 ,176,2
S7 , S98 ,177,4
S8 , S10 ,178,3
S8 , S17 ,179,2
S8 , S18 ,180,2
S8 , S19 ,181,1
S8 , S20 ,182,1
S8 , S21 ,183,1
S8 , S23 ,184,2
S8 , S25 ,185,3
S8 , S45 ,186,1
S8 , S47 ,187,5
S8 , S50 ,188,1
S8 , S51 ,189,2
S8 , S58 ,190,1
S8 , S59 ,191,1
S8 , S62 ,192,2
S8 , S69 ,193,2
S8 , S76 ,194,2
S8 , S79 ,195,2
S8 , S82 ,196,2
S8 , S83 ,197,1
S8 , S87 ,198,1
S8 , S92 ,199,2
S8 , S93 ,200,3
S8 , S95 ,201,1
S8 , S97 ,202,3
S8 , S98 ,203,2
S8 , S99 ,204,4
S9 , S45 ,205,1
S9 , S50 ,206,1
S9 , S51 ,207,2
S9 , S71 ,208,1
S9 , S95 ,209,1
S10 , S14 ,210,1
S10 , S15 ,211,1
S10 , S18 ,212,2
S10 , S19 ,213,4
S10 , S20 ,214,1
S10 , S21 ,215,4
S10 , S23 ,216,2
S10 , S25 ,217,3
S10 , S28 ,218,1
S10 , S47 ,219,3
S10 , S50 ,220,1
S10 , S51 ,221,2
S10 , S55 ,222,1
S10 , S61 ,223,1
S10 , S62 ,224,1
S10 , S71 ,225,3
S10 , S72 ,226,1
S10 , S80 ,227,1
S10 , S82 ,228,2
S10 , S83 ,229,1
S10 , S87 ,230,4
S10 , S92 ,231,2
S10 , S93 ,232,3
S10 , S95 ,233,1
S10 , S97 ,234,3
S10 , S98 ,235,2
S10 , S99 ,236,4
S11 , S13 ,237,1
S11 , S14 ,238,1
S11 , S25 ,239,1
S11 , S51 ,240,1
S11 , S55 ,241,1
S11 , S69 ,242,1
S11 , S76 ,243,1
S11 , S78 ,244,2
S11 , S79 ,245,1
S11 , S85 ,246,1
S12 , S13 ,247,1
S12 , S14 ,248,1
S12 , S85 ,249,1
S13 , S14 ,250,1
S13 , S15 ,251,2
S13 , S16 ,252,1
S13 , S20 ,253,2
S13 , S22 ,254,2
S13 , S25 ,255,4
S13 , S29 ,256,1
S13 , S33 ,257,2
S13 , S45 ,258,2
S13 , S46 ,259,1
S13 , S50 ,260,1
S13 , S51 ,261,4
S13 , S53 ,262,1
S13 , S54 ,263,1
S13 , S55 ,264,1
S13 , S57 ,265,1
S13 , S61 ,266,1
S13 , S63 ,267,1
S13 , S64 ,268,2
S13 , S65 ,269,2
S13 , S66 ,270,1
S13 , S69 ,271,1
S13 , S71 ,272,1
S13 , S72 ,273,2
S13 , S74 ,274,4
S13 , S75 ,275,1
S13 , S76 ,276,1
S13 , S78 ,277,2
S13 , S79 ,278,1
S13 , S80 ,279,1
S13 , S83 ,280,1
S13 , S84 ,281,1
S13 , S91 ,282,1
S13 , S92 ,283,1
S13 , S94 ,284,2
S13 , S95 ,285,1
S13 , S96 ,286,1
S14 , S15 ,287,2
S14 , S16 ,288,2
S14 , S17 ,289,1
S14 , S18 ,290,1
S14 , S20 ,291,4
S14 , S22 ,292,2
S14 , S24 ,293,1
S14 , S25 ,294,6
S14 , S28 ,295,1
S14 , S29 ,296,1
S14 , S30 ,297,1
S14 , S33 ,298,3
S14 , S44 ,299,1
S14 , S45 ,300,2
S14 , S46 ,301,1
S14 , S47 ,302,3
S14 , S51 ,303,1
S14 , S53 ,304,2
S14 , S54 ,305,1
S14 , S55 ,306,1
S14 , S56 ,307,1
S14 , S57 ,308,1
S14 , S58 ,309,1
S14 , S59 ,310,1
S14 , S61 ,311,2
S14 , S63 ,312,1
S14 , S64 ,313,2
S14 , S65 ,314,2
S14 , S66 ,315,1
S14 , S71 ,316,1
S14 , S72 ,317,3
S14 , S74 ,318,5
S14 , S75 ,319,1
S14 , S80 ,320,2
S14 , S82 ,321,1
S14 , S83 ,322,1
S14 , S84 ,323,2
S14 , S85 ,324,1
S14 , S91 ,325,1
S14 , S92 ,326,2
S14 , S93 ,327,1
S14 , S94 ,328,2
S14 , S96 ,329,1
S15 , S16 ,330,1
S15 , S17 ,331,1
S15 , S18 ,332,1
S15 , S20 ,333,2
S15 , S24 ,334,1
S15 , S30 ,335,1
S15 , S33 ,336,1
S15 , S44 ,337,1
S15 , S45 ,338,2
S15 , S47 ,339,3
S15 , S50 ,340,1
S15 , S51 ,341,2
S15 , S53 ,342,1
S15 , S56 ,343,1
S15 , S58 ,344,1
S15 , S59 ,345,1
S15 , S61 ,346,1
S15 , S71 ,347,2
S15 , S72 ,348,1
S15 , S74 ,349,1
S15 , S82 ,350,1
S15 , S84 ,351,1
S15 , S85 ,352,2
S15 , S92 ,353,1
S15 , S93 ,354,1
S15 , S95 ,355,1
S16 , S25 ,356,1
S16 , S61 ,357,1
S16 , S72 ,358,1
S16 , S80 ,359,1
S16 , S83 ,360,1
S16 , S85 ,361,1
S17 , S25 ,362,1
S17 , S61 ,363,1
S17 , S72 ,364,1
S17 , S80 ,365,1
S17 , S83 ,366,1
S18 , S19 ,367,2
S18 , S21 ,368,2
S18 , S25 ,369,2
S18 , S28 ,370,1
S18 , S54 ,371,2
S18 , S55 ,372,1
S18 , S58 ,373,4
S18 , S60 ,374,2
S18 , S61 ,375,3
S18 , S69 ,376,2
S18 , S71 ,377,2
S18 , S72 ,378,1
S18 , S80 ,379,1
S18 , S82 ,380,1
S18 , S83 ,381,1
S18 , S87 ,382,2
S18 , S98 ,383,2
S19 , S20 ,384,1
S19 , S21 ,385,2
S19 , S23 ,386,2
S19 , S25 ,387,1
S19 , S47 ,388,3
S19 , S50 ,389,1
S19 , S51 ,390,2
S19 , S71 ,391,1
S19 , S82 ,392,2
S19 , S87 ,393,2
S19 , S92 ,394,2
S19 , S93 ,395,3
S19 , S95 ,396,1
S19 , S97 ,397,3
S19 , S98 ,398,2
S19 , S99 ,399,4
S20 , S21 ,400,1
S20 , S25 ,401,3
S20 , S28 ,402,1
S20 , S55 ,403,1
S20 , S71 ,404,1
S20 , S74 ,405,2
S20 , S75 ,406,1
S20 , S80 ,407,1
S20 , S85 ,408,2
S20 , S87 ,409,2
S20 , S88 ,410,1
S20 , S93 ,411,1
S20 , S98 ,412,1
S20 , S99 ,413,1
S21 , S23 ,414,2
S21 , S25 ,415,1
S21 , S47 ,416,3
S21 , S50 ,417,1
S21 , S51 ,418,2
S21 , S71 ,419,1
S21 , S82 ,420,2
S21 , S87 ,421,2
S21 , S92 ,422,2
S21 , S93 ,423,3
S21 , S95 ,424,1
S21 , S97 ,425,3
S21 , S98 ,426,2
S21 , S99 ,427,4
S22 , S23 ,428,1
S22 , S25 ,429,1
S22 , S28 ,430,1
S22 , S55 ,431,1
S22 , S64 ,432,1
S22 , S66 ,433,1
S22 , S85 ,434,2
S23 , S35 ,435,1
S23 , S38 ,436,1
S23 , S51 ,437,1
S23 , S54 ,438,3
S23 , S55 ,439,1
S23 , S58 ,440,4
S23 , S60 ,441,2
S23 , S61 ,442,2
S23 , S66 ,443,1
S23 , S69 ,444,3
S23 , S71 ,445,2
S23 , S77 ,446,1
S23 , S78 ,447,2
S23 , S81 ,448,1
S23 , S82 ,449,1
S23 , S87 ,450,2
S23 , S96 ,451,1
S23 , S98 ,452,2
S24 , S25 ,453,5
S24 , S28 ,454,3
S24 , S55 ,455,1
S24 , S80 ,456,2
S25 , S26 ,457,1
S25 , S27 ,458,2
S25 , S28 ,459,4
S25 , S30 ,460,2
S25 , S31 ,461,2
S25 , S32 ,462,3
S25 , S33 ,463,5
S25 , S35 ,464,1
S25 , S39 ,465,2
S25 , S40 ,466,1
S25 , S41 ,467,3
S25 , S42 ,468,9
S25 , S45 ,469,3
S25 , S47 ,470,2
S25 , S50 ,471,1
S25 , S51 ,472,3
S25 , S52 ,473,1
S25 , S54 ,474,5
S25 , S55 ,475,3
S25 , S58 ,476,4
S25 , S59 ,477,2
S25 , S60 ,478,4
S25 , S61 ,479,2
S25 , S63 ,480,1
S25 , S64 ,481,1
S25 , S65 ,482,2
S25 , S66 ,483,1
S25 , S69 ,484,2
S25 , S70 ,485,4
S25 , S71 ,486,5
S25 , S72 ,487,2
S25 , S73 ,488,3
S25 , S74 ,489,5
S25 , S75 ,490,2
S25 , S76 ,491,1
S25 , S77 ,492,1
S25 , S80 ,493,2
S25 , S81 ,494,1
S25 , S82 ,495,5
S25 , S84 ,496,6
S25 , S85 ,497,2
S25 , S87 ,498,3
S25 , S88 ,499,3
S25 , S89 ,500,1
S25 , S91 ,501,7
S25 , S92 ,502,4
S25 , S94 ,503,4
S25 , S95 ,504,6
S25 , S96 ,505,3
S25 , S97 ,506,1
S25 , S98 ,507,6
S25 , S99 ,508,2
S26 , S91 ,509,1
S28 , S32 ,510,1
S28 , S33 ,511,1
S28 , S42 ,512,2
S28 , S54 ,513,3
S28 , S55 ,514,2
S28 , S59 ,515,2
S28 , S64 ,516,1
S28 , S66 ,517,1
S28 , S70 ,518,2
S28 , S71 ,519,1
S28 , S73 ,520,2
S28 , S88 ,521,2
S30 , S61 ,522,1
S30 , S72 ,523,1
S30 , S80 ,524,2
S30 , S83 ,525,1
S31 , S67 ,526,1
S31 , S80 ,527,1
S32 , S55 ,528,1
S32 , S80 ,529,1
S33 , S55 ,530,1
S33 , S61 ,531,1
S33 , S62 ,532,1
S33 , S72 ,533,1
S33 , S80 ,534,3
S33 , S83 ,535,1
S33 , S85 ,536,1
S34 , S37 ,537,1
S34 , S58 ,538,1
S34 , S59 ,539,1
S34 , S62 ,540,1
S34 , S64 ,541,1
S34 , S66 ,542,3
S34 , S73 ,543,2
S34 , S79 ,544,2
S34 , S80 ,545,2
S34 , S83 ,546,1
S34 , S92 ,547,1
S34 , S95 ,548,1
S35 , S51 ,549,1
S35 , S55 ,550,1
S35 , S69 ,551,1
S35 , S78 ,552,2
S35 , S86 ,553,1
S36 , S45 ,554,1
S36 , S46 ,555,1
S36 , S63 ,556,1
S36 , S78 ,557,1
S36 , S92 ,558,1
S36 , S94 ,559,1
S37 , S51 ,560,3
S37 , S55 ,561,2
S37 , S69 ,562,2
S37 , S78 ,563,4
S38 , S62 ,564,1
S38 , S64 ,565,1
S38 , S66 ,566,1
S40 , S45 ,567,1
S40 , S46 ,568,1
S40 , S63 ,569,1
S40 , S76 ,570,1
S40 , S79 ,571,1
S40 , S92 ,572,1
S40 , S94 ,573,1
S41 , S76 ,574,1
S41 , S79 ,575,1
S42 , S80 ,576,4
S43 , S67 ,577,1
S44 , S61 ,578,1
S44 , S67 ,579,1
S44 , S72 ,580,1
S44 , S80 ,581,1
S44 , S83 ,582,1
S45 , S47 ,583,2
S45 , S48 ,584,2
S45 , S55 ,585,1
S45 , S59 ,586,1
S45 , S63 ,587,1
S45 , S76 ,588,1
S45 , S80 ,589,2
S45 , S81 ,590,1
S45 , S85 ,591,1
S45 , S94 ,592,2
S46 , S67 ,593,1
S46 , S85 ,594,1
S47 , S48 ,595,2
S47 , S54 ,596,2
S47 , S58 ,597,4
S47 , S60 ,598,2
S47 , S61 ,599,5
S47 , S69 ,600,2
S47 , S71 ,601,4
S47 , S72 ,602,3
S47 , S80 ,603,4
S47 , S82 ,604,2
S47 , S83 ,605,3
S47 , S87 ,606,4
S47 , S92 ,607,1
S47 , S94 ,608,4
S47 , S98 ,609,2
S48 , S67 ,610,1
S48 , S94 ,611,2
S49 , S67 ,612,1
S50 , S54 ,613,2
S50 , S55 ,614,1
S50 , S58 ,615,4
S50 , S60 ,616,2
S50 , S61 ,617,2
S50 , S62 ,618,1
S50 , S69 ,619,2
S50 , S71 ,620,2
S50 , S76 ,621,1
S50 , S82 ,622,2
S50 , S87 ,623,2
S50 , S92 ,624,1
S50 , S98 ,625,2
S51 , S54 ,626,4
S51 , S55 ,627,3
S51 , S58 ,628,9
S51 , S59 ,629,1
S51 , S60 ,630,4
S51 , S61 ,631,4
S51 , S64 ,632,1
S51 , S66 ,633,3
S51 , S69 ,634,4
S51 , S71 ,635,4
S51 , S73 ,636,2
S51 , S76 ,637,3
S51 , S78 ,638,1
S51 , S79 ,639,3
S51 , S80 ,640,2
S51 , S82 ,641,4
S51 , S83 ,642,1
S51 , S85 ,643,1
S51 , S87 ,644,4
S51 , S92 ,645,3
S51 , S95 ,646,1
S51 , S98 ,647,4
S52 , S55 ,648,1
S52 , S58 ,649,1
S52 , S59 ,650,1
S52 , S62 ,651,3
S52 , S69 ,652,3
S52 , S76 ,653,1
S52 , S78 ,654,2
S52 , S79 ,655,1
S52 , S83 ,656,1
S52 , S86 ,657,1
S53 , S85 ,658,1
S54 , S55 ,659,1
S54 , S59 ,660,1
S55 , S59 ,661,3
S55 , S62 ,662,1
S55 , S63 ,663,1
S55 , S64 ,664,3
S55 , S65 ,665,1
S55 , S66 ,666,2
S55 , S69 ,667,2
S55 , S71 ,668,1
S55 , S73 ,669,2
S55 , S76 ,670,1
S55 , S78 ,671,2
S55 , S79 ,672,1
S55 , S80 ,673,1
S55 , S81 ,674,1
S55 , S83 ,675,1
S55 , S84 ,676,1
S55 , S86 ,677,1
S55 , S88 ,678,2
S55 , S95 ,679,1
S56 , S61 ,680,1
S56 , S72 ,681,1
S56 , S80 ,682,1
S56 , S83 ,683,1
S57 , S58 ,684,1
S57 , S59 ,685,1
S57 , S64 ,686,1
S57 , S66 ,687,1
S57 , S73 ,688,2
S57 , S83 ,689,1
S57 , S85 ,690,1
S57 , S92 ,691,1
S57 , S95 ,692,1
S58 , S61 ,693,2
S58 , S64 ,694,1
S58 , S66 ,695,1
S58 , S68 ,696,1
S58 , S69 ,697,1
S58 , S72 ,698,1
S58 , S73 ,699,2
S58 , S79 ,700,2
S58 , S80 ,701,1
S58 , S81 ,702,1
S58 , S83 ,703,1
S58 , S90 ,704,1
S58 , S92 ,705,1
S58 , S95 ,706,1
S59 , S61 ,707,2
S59 , S63 ,708,1
S59 , S64 ,709,1
S59 , S66 ,710,1
S59 , S68 ,711,1
S59 , S69 ,712,1
S59 , S72 ,713,1
S59 , S73 ,714,2
S59 , S79 ,715,2
S59 , S80 ,716,1
S59 , S81 ,717,3
S59 , S83 ,718,1
S59 , S88 ,719,1
S59 , S90 ,720,1
S59 , S92 ,721,2
S59 , S94 ,722,1
S59 , S95 ,723,1
S60 , S76 ,724,2
S60 , S79 ,725,2
S61 , S71 ,726,1
S61 , S72 ,727,2
S61 , S74 ,728,1
S61 , S80 ,729,1
S61 , S82 ,730,1
S61 , S83 ,731,1
S61 , S84 ,732,1
S61 , S85 ,733,1
S61 , S92 ,734,1
S61 , S93 ,735,1
S62 , S66 ,736,1
S62 , S72 ,737,2
S62 , S73 ,738,2
S62 , S74 ,739,1
S62 , S76 ,740,1
S62 , S77 ,741,1
S62 , S78 ,742,1
S62 , S80 ,743,2
S62 , S81 ,744,1
S62 , S83 ,745,1
S62 , S84 ,746,2
S63 , S76 ,747,1
S63 , S79 ,748,1
S63 , S92 ,749,1
S63 , S94 ,750,1
S64 , S66 ,751,2
S64 , S68 ,752,1
S64 , S69 ,753,2
S64 , S72 ,754,1
S64 , S73 ,755,1
S64 , S77 ,756,2
S64 , S78 ,757,3
S64 , S79 ,758,2
S64 , S81 ,759,3
S64 , S83 ,760,2
S64 , S85 ,761,2
S64 , S90 ,762,1
S64 , S96 ,763,1
S65 , S69 ,764,1
S65 , S78 ,765,2
S65 , S80 ,766,1
S65 , S81 ,767,1
S65 , S85 ,768,2
S66 , S68 ,769,1
S66 , S69 ,770,4
S66 , S73 ,771,1
S66 , S77 ,772,1
S66 , S78 ,773,2
S66 , S79 ,774,6
S66 , S81 ,775,2
S66 , S83 ,776,1
S66 , S85 ,777,1
S66 , S90 ,778,1
S66 , S96 ,779,1
S67 , S73 ,780,1
S69 , S73 ,781,2
S69 , S78 ,782,1
S69 , S79 ,783,4
S69 , S80 ,784,2
S69 , S83 ,785,1
S69 , S92 ,786,1
S69 , S95 ,787,1
S70 , S80 ,788,2
S71 , S76 ,789,2
S71 , S79 ,790,1
S71 , S82 ,791,2
S71 , S87 ,792,1
S71 , S92 ,793,2
S71 , S93 ,794,3
S71 , S95 ,795,1
S71 , S97 ,796,3
S71 , S98 ,797,2
S71 , S99 ,798,4
S72 , S74 ,799,3
S72 , S75 ,800,1
S72 , S80 ,801,1
S72 , S82 ,802,1
S72 , S84 ,803,1
S72 , S85 ,804,2
S72 , S86 ,805,1
S72 , S87 ,806,1
S72 , S88 ,807,1
S72 , S92 ,808,1
S72 , S93 ,809,2
S72 , S98 ,810,1
S72 , S99 ,811,1
S73 , S76 ,812,1
S73 , S79 ,813,5
S73 , S81 ,814,2
S73 , S83 ,815,2
S73 , S90 ,816,2
S73 , S92 ,817,1
S73 , S95 ,818,1
S74 , S80 ,819,4
S74 , S84 ,820,2
S74 , S85 ,821,3
S74 , S86 ,822,1
S74 , S92 ,823,2
S75 , S80 ,824,2
S75 , S84 ,825,1
S75 , S92 ,826,1
S76 , S77 ,827,1
S76 , S78 ,828,2
S76 , S79 ,829,1
S76 , S81 ,830,1
S76 , S82 ,831,3
S76 , S86 ,832,1
S76 , S87 ,833,1
S76 , S88 ,834,1
S76 , S89 ,835,1
S76 , S91 ,836,1
S76 , S92 ,837,1
S76 , S95 ,838,3
S76 , S96 ,839,1
S76 , S97 ,840,1
S77 , S79 ,841,1
S78 , S79 ,842,1
S78 , S80 ,843,1
S78 , S81 ,844,1
S78 , S83 ,845,1
S78 , S84 ,846,1
S78 , S86 ,847,1
S79 , S80 ,848,4
S79 , S81 ,849,1
S79 , S82 ,850,3
S79 , S83 ,851,2
S79 , S87 ,852,1
S79 , S88 ,853,1
S79 , S89 ,854,1
S79 , S91 ,855,1
S79 , S92 ,856,3
S79 , S95 ,857,4
S79 , S96 ,858,1
S79 , S97 ,859,1
S80 , S84 ,860,3
S80 , S91 ,861,3
S80 , S92 ,862,2
S80 , S94 ,863,3
S80 , S95 ,864,2
S80 , S96 ,865,1
S80 , S98 ,866,2
S80 , S99 ,867,1
S81 , S87 ,868,1
S81 , S88 ,869,1
S82 , S83 ,870,1
S82 , S87 ,871,3
S82 , S92 ,872,1
S82 , S93 ,873,1
S82 , S95 ,874,1
S82 , S98 ,875,2
S83 , S84 ,876,1
S83 , S90 ,877,1
S83 , S92 ,878,2
S83 , S93 ,879,1
S83 , S95 ,880,1
S84 , S85 ,881,1
S84 , S87 ,882,1
S84 , S88 ,883,1
S84 , S93 ,884,1
S84 , S98 ,885,1
S84 , S99 ,886,1
S85 , S91 ,887,1
S85 , S92 ,888,1
S85 , S94 ,889,2
S85 , S96 ,890,1
S87 , S92 ,891,3
S87 , S93 ,892,3
S87 , S95 ,893,1
S87 , S97 ,894,3
S87 , S98 ,895,2
S87 , S99 ,896,4
S88 , S92 ,897,1
S92 , S93 ,898,1
S92 , S98 ,899,3
S92 , S99 ,900,1
S93 , S98 ,901,2
S94 , S98 ,902,3
S95 , S98 ,903,2
